Area,Address,Horizontal,Road_width,Type_of_house,Price
90.0,1,6.0,15.0,1,18.8
50.0,2,6.0,24.0,1,20.0
60.0,3,4.0,5.0,1,11.5
68.0,4,4.0,6.0,1,17.2
55.0,3,4.6,5.0,1,10.6
72.0,1,5.1,15.0,1,20.0
85.0,1,5.1,8.0,1,27.5
145.0,7,11.0,15.0,1,58.0
90.0,1,6.0,15.0,1,18.8
50.0,2,6.0,24.0,1,20.0
60.0,3,4.0,5.0,1,11.5
68.0,4,4.0,6.0,1,17.2
55.0,3,4.6,5.0,1,10.6
72.0,1,5.1,15.0,1,20.0
85.0,1,5.1,8.0,1,27.5
85.0,4,7.5,10.0,1,25.0
120.0,4,8.0,24.0,1,41.0
75.0,1,5.0,8.0,1,23.3
120.0,3,5.0,15.0,1,20.0
105.0,3,6.6,10.0,1,19.8
60.0,1,6.5,5.0,1,15.5
95.0,4,5.0,15.0,1,25.5
60.0,4,4.0,15.0,1,16.5
101.0,12,6.0,5.0,1,29.9
85.0,4,4.5,15.0,1,15.4
45.0,1,4.0,10.0,1,12.0
65.0,4,5.5,10.0,1,17.0
95.0,4,5.0,15.0,1,25.5
60.0,4,4.0,15.0,1,16.5
101.0,12,6.0,5.0,1,29.9
85.0,4,4.5,15.0,1,15.4
45.0,1,4.0,10.0,1,12.0
65.0,4,5.5,10.0,1,17.0
140.0,4,7.5,15.0,1,30.5
130.0,1,4.5,30.0,1,28.0
70.0,18,5.0,50.0,1,18.0
60.0,1,5.0,6.0,1,19.3
45.0,1,4.0,10.0,1,21.5
70.0,1,8.5,10.0,1,29.5
100.0,4,5.0,10.0,1,25.0
60.0,22,4.0,20.0,1,22.0
60.0,1,5.0,20.0,1,22.6
65.0,1,4.0,10.0,1,18.8
120.0,4,7.0,10.0,1,41.0
60.0,4,5.0,10.0,1,24.7
72.0,7,4.5,8.0,2,18.0
90.0,1,6.0,5.0,2,24.0
72.0,7,4.5,8.0,2,18.0
90.0,1,6.0,5.0,2,24.0
70.0,3,5.0,5.0,2,18.0
110.0,4,6.0,5.0,2,23.0
50.0,1,4.0,3.5,2,12.7
80.0,18,8.0,5.0,2,12.8
55.0,1,4.5,5.0,2,12.7
60.0,32,4.0,10.0,2,16.8
140.0,33,10.0,10.0,2,29.0
75.0,1,4.5,10.0,2,22.9
65.0,1,4.0,5.0,2,12.6
110.0,1,5.0,5.0,2,22.0
75.0,36,5.0,10.0,2,16.8
90.0,1,4.5,10.0,2,21.2
60.0,1,4.5,5.0,2,10.5
65.0,4,5.0,5.0,2,10.0
60.0,7,4.5,8.0,2,18.5
65.0,32,6.0,8.0,2,17.8
70.0,42,6.0,5.0,2,22.8
52.0,1,4.0,10.0,2,14.2
85.0,4,7.5,10.0,1,25.0
120.0,4,8.0,24.0,1,41.0
75.0,1,5.0,8.0,1,23.3
120.0,3,5.0,15.0,1,20.0
105.0,3,6.6,10.0,1,19.8
60.0,1,6.5,5.0,1,15.5
95.0,4,5.0,15.0,1,25.5
60.0,4,4.0,15.0,1,16.5
101.0,12,6.0,5.0,1,29.9
85.0,4,4.5,15.0,1,15.4
45.0,1,4.0,10.0,1,12.0
65.0,4,5.5,10.0,1,17.0
140.0,4,7.5,15.0,1,30.5
130.0,1,4.5,30.0,1,28.0
70.0,18,5.0,50.0,1,18.0
60.0,1,5.0,6.0,1,19.3
45.0,1,4.0,10.0,1,21.5
70.0,1,8.5,10.0,1,29.5
100.0,4,5.0,10.0,1,25.0
60.0,22,4.0,20.0,1,22.0
100.0,4,5.0,10.0,1,25.0
60.0,22,4.0,20.0,1,22.0
60.0,1,5.0,20.0,1,22.6
65.0,1,4.0,10.0,1,18.8
120.0,4,7.0,10.0,1,41.0
60.0,4,5.0,10.0,1,24.7
72.0,7,4.5,8.0,2,18.0
90.0,1,6.0,5.0,2,24.0
70.0,3,5.0,5.0,2,18.0
110.0,4,6.0,5.0,2,23.0
50.0,1,4.0,3.5,2,12.7
80.0,18,8.0,5.0,2,12.8
55.0,1,4.5,5.0,2,12.7
60.0,32,4.0,10.0,2,16.8
140.0,33,10.0,10.0,2,29.0
75.0,1,4.5,10.0,2,22.9
65.0,1,4.0,5.0,2,12.6
110.0,1,5.0,5.0,2,22.0
75.0,36,5.0,10.0,2,16.8
90.0,1,4.5,10.0,2,21.2
105.0,3,6.6,10.0,1,19.8
60.0,1,6.5,5.0,1,15.5
95.0,4,5.0,15.0,1,25.5
60.0,4,4.0,15.0,1,16.5
101.0,12,6.0,5.0,1,29.9
85.0,4,4.5,15.0,1,15.4
45.0,1,4.0,10.0,1,12.0
65.0,4,5.5,10.0,1,17.0
140.0,4,7.5,15.0,1,30.5
130.0,1,4.5,30.0,1,28.0
70.0,18,5.0,50.0,1,18.0
60.0,1,5.0,6.0,1,19.3
45.0,1,4.0,10.0,1,21.5
70.0,1,8.5,10.0,1,29.5
100.0,4,5.0,10.0,1,25.0
60.0,22,4.0,20.0,1,22.0
60.0,1,5.0,20.0,1,22.6
65.0,1,4.0,10.0,1,18.8
120.0,4,7.0,10.0,1,41.0
60.0,4,5.0,10.0,1,24.7
60.0,4,5.0,10.0,1,24.7
72.0,7,4.5,8.0,2,18.0
90.0,1,6.0,5.0,2,24.0
70.0,3,5.0,5.0,2,18.0
50.0,1,4.0,3.5,2,12.7
80.0,18,8.0,5.0,2,12.8
55.0,1,4.5,5.0,2,12.7
60.0,32,4.0,10.0,2,16.8
140.0,33,10.0,10.0,2,29.0
75.0,1,4.5,10.0,2,22.9
65.0,1,4.0,5.0,2,12.6
110.0,1,5.0,5.0,2,22.0
75.0,36,5.0,10.0,2,16.8
90.0,1,4.5,10.0,2,21.2
60.0,1,4.5,5.0,2,10.5
65.0,4,5.0,5.0,2,10.0
60.0,7,4.5,8.0,2,18.5
65.0,32,6.0,8.0,2,17.8
70.0,42,6.0,5.0,2,22.8
120.0,3,5.0,15.0,1,20.0
105.0,3,6.6,10.0,1,19.8
60.0,1,6.5,5.0,1,15.5
95.0,4,5.0,15.0,1,25.5
60.0,4,4.0,15.0,1,16.5
101.0,12,6.0,5.0,1,29.9
85.0,4,4.5,15.0,1,15.4
45.0,1,4.0,10.0,1,12.0
65.0,4,5.5,10.0,1,17.0
140.0,4,7.5,15.0,1,30.5
130.0,1,4.5,30.0,1,28.0
70.0,18,5.0,50.0,1,18.0
60.0,1,5.0,6.0,1,19.3
45.0,1,4.0,10.0,1,21.5
70.0,1,8.5,10.0,1,29.5
100.0,4,5.0,10.0,1,25.0
60.0,22,4.0,20.0,1,22.0
60.0,1,5.0,20.0,1,22.6
65.0,1,4.0,10.0,1,18.8
120.0,4,7.0,10.0,1,41.0
55.0,44,4.0,11.0,1,13.0
45.0,1,5.0,9.0,1,10.0
36.0,22,3.6,7.0,1,8.6
38.0,1,4.0,3.0,2,5.0
82.0,48,6.0,3.0,2,14.0
56.0,49,4.0,3.5,2,9.0
95.0,50,6.0,5.0,2,20.0
105.0,1,6.0,5.0,2,22.0
100.0,4,7.0,4.0,2,27.0
65.0,44,6.0,3.0,2,11.0
100.0,18,4.0,11.0,2,17.0
55.0,22,8.0,8.0,2,15.0
63.0,53,6.0,3.0,2,7.0
